round_id,identifier,request_time,block_number,tx_hash,resolved_price,resolution_label,ancillary_data,num_voters,total_tokens,votes_count,consensus_rate
9341,XAUPERL,1614081364,11913544,0x052693ea6cafd5aa646d808df7f5a313fc5df1fdd67e2f4dc45b95bbcce832e0,,,,,,,
9342,Admin 58,1614288940,11928814,0x0d3c8eeaf4d4b6d13e6fea668e932255ba49048685b69e113a0ab9e535453ab9,1.0,Yes,,51.0,23819247.771473583,51.0,1.0
9342,Admin 59,1614289354,11928845,0x65a8fc8b3413e41566ce18da898ab6c46671c04794aba8bfa6cefb1129e469fb,1.0,Yes,,51.0,23819247.771473583,51.0,1.0
9342,Admin 60,1614289685,11928867,0x249e999f6a4519a474144d6121a95e160db3619cba3a136f1f6338b7525af746,1.0,Yes,,51.0,23819247.771473583,51.0,1.0
9342,Admin 61,1614290106,11928895,0xbfb4e9244abb8f1bde74efc74ff47d9d5397dfebaacf568d3b81f1333d25e85c,1.0,Yes,,51.0,23819247.771473583,51.0,1.0
9344,USDETH,1614508401,11945288,0x8c4ba722ac1ee27c5d1fcf9cb368203bce36a20b43d935b6191827b99c6732f7,0.00073,No,,38.0,17800983.020145074,38.0,1.0
9344,GASETH-FEB21,1614556800,11948972,0x76d6260ce74ffe6824324d07cfcdeb3220a59b4f2cc122dbbe43fc8c286c515a,0.158,0.158000,,39.0,17801001.305664144,39.0,1.0
9349,Admin 62,1615396476,12012075,0x627570c854b51650b5144713a8febcdc3070e760131ed754605b689ecd5dadc0,1.0,Yes,,47.0,24831340.412314825,47.0,1.0
9349,Admin 63,1615396663,12012094,0x32146bcd12a39899e8939a5ec96594374cf5dc8fec2a61b723de5952b3f94147,1.0,Yes,,47.0,24831340.412314825,47.0,0.9999
9349,Admin 64,1615396815,12012106,0xf296f56949bd4e24674261302d6cc7cf8fcf76ba7488a34083baad035a9f8ffc,1.0,Yes,,47.0,24831340.412314825,47.0,1.0
9352,Admin 65,1616014456,12058459,0xca5ec80b7801132425ad9e05f4769e264e716b9ca45b79ca0222fe1c59dfc435,1.0,Yes,,53.0,25034937.267040126,53.0,1.0
9352,Admin 66,1616015639,12058548,0xe83cfb47f53a864effeca9a9eea01ed4a032d890e761fb02844bdda0300afdd6,1.0,Yes,,53.0,25034937.267040126,53.0,1.0
